Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-24 07:00,2024-09-24 15:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-24 17:00,2024-09-24 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-25 07:00,2024-09-25 15:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-25 17:00,2024-09-25 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-26 07:00,2024-09-26 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-27 07:00,2024-09-27 15:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-27 17:00,2024-09-27 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,1006,Restricted,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-16 07:00,2024-09-16 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-16 14:00,2024-09-16 16:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-16 20:00,2024-09-16 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-17 07:00,2024-09-17 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-17 18:00,2024-09-17 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-18 07:00,2024-09-18 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-18 20:00,2024-09-18 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-19 07:00,2024-09-19 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-19 20:00,2024-09-19 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-20 07:00,2024-09-20 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-20 18:00,2024-09-20 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-21 07:00,2024-09-21 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-22 07:00,2024-09-22 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-23 07:00,2024-09-23 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-23 14:00,2024-09-23 16:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-23 20:00,2024-09-23 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-24 07:00,2024-09-24 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-24 18:00,2024-09-24 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-25 07:00,2024-09-25 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-25 20:00,2024-09-25 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-26 07:00,2024-09-26 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-26 20:00,2024-09-26 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-27 07:00,2024-09-27 08:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-27 18:00,2024-09-27 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,CEME,Civil and Mechanical Engineering,2212,Restricted,2024-09-29 07:00,2024-09-29 22:00
