Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-07 07:00,2025-05-07 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-07 10:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-09 07:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-11 07:00,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-12 07:00,2025-05-12 13:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-12 16:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-13 07:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-16 07:00,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-17 07:00,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,B75,General,2025-05-18 07:00,2025-05-18 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-05 07:00,2025-05-05 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-05 10:00,2025-05-05 15:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-05 17:00,2025-05-05 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-06 07:00,2025-05-06 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-07 07:00,2025-05-07 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-07 10:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-09 07:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-11 07:00,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-12 07:00,2025-05-12 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-12 17:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-13 07:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-16 07:00,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-17 07:00,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G57,General,2025-05-18 07:00,2025-05-18 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-05 07:00,2025-05-05 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-05 10:00,2025-05-05 15:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-05 17:00,2025-05-05 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-06 07:00,2025-05-06 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-07 07:00,2025-05-07 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-07 10:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-09 07:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-11 07:00,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-12 07:00,2025-05-12 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-12 17:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-13 07:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-16 07:00,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-17 07:00,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G53,General,2025-05-18 07:00,2025-05-18 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-05 07:00,2025-05-05 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-05 10:00,2025-05-05 15:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-05 17:00,2025-05-05 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-06 07:00,2025-05-06 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-07 07:00,2025-05-07 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-07 10:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-09 07:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-11 07:00,2025-05-11 09:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-11 13:30,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-12 07:00,2025-05-12 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-12 17:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-13 07:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-16 07:00,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-17 07:00,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G44,General,2025-05-18 07:00,2025-05-18 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-05 07:00,2025-05-05 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-06 07:00,2025-05-06 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-07 07:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-09 07:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-11 07:00,2025-05-11 09:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-11 13:30,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-12 07:00,2025-05-12 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-12 17:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-13 07:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-16 07:00,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-17 07:00,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,G41,General,2025-05-18 07:00,2025-05-18 22:00
